"","LR_Image","TotalCount","Answer","AnswerCount","diff","DAP_RankRatio"
"106","DAM041_T_DAPedit",71,"DAM041_T_DAPedit",6,65,0.0845070422535211
"107","DAM042_P_DAPedit",63,"DAM042_P_DAPedit",10,53,0.158730158730159
"108","DAM042_T_DAPedit",69,"DAM042_T_DAPedit",25,44,0.36231884057971
"109","DAM043_F_DAPedit",73,"DAM043_F_DAPedit",19,54,0.26027397260274
"110","DAM043_T_DAPedit",52,"DAM043_T_DAPedit",3,49,0.0576923076923077
"111","DAM044_F_DAPedit",66,"DAM044_F_DAPedit",12,54,0.181818181818182
"112","DAM044_P_DAPedit",62,"DAM044_P_DAPedit",1,61,0.0161290322580645
"113","DAM044_T_DAPedit",73,"DAM044_T_DAPedit",19,54,0.26027397260274
"114","DAM045_T_DAPedit",67,"DAM045_T_DAPedit",8,59,0.119402985074627
"115","DAM046_P_DAPedit",60,"DAM046_P_DAPedit",12,48,0.2
"116","DAM046_T_DAPedit",74,"DAM046_T_DAPedit",12,62,0.162162162162162
"117","DAM047_P_DAPedit",65,"DAM047_P_DAPedit",9,56,0.138461538461538
"118","DAM047_T_DAPedit",60,"DAM047_T_DAPedit",10,50,0.166666666666667
"119","DAM048_F_DAPedit",56,"DAM048_F_DAPedit",39,17,0.696428571428571
"120","DAM048_P_DAPedit",62,"DAM048_P_DAPedit",28,34,0.451612903225806
"121","DAM048_T_DAPedit",82,"DAM048_T_DAPedit",43,39,0.524390243902439
"122","DAM049_F_DAPedit",80,"DAM049_F_DAPedit",3,77,0.0375
"123","DAM049_P_DAPedit",78,"DAM049_P_DAPedit",14,64,0.179487179487179
"124","DAM049_T_DAPedit",67,"DAM049_T_DAPedit",7,60,0.104477611940299
"125","DAM050_P_DAPedit",72,"DAM050_P_DAPedit",10,62,0.138888888888889
"126","DAM050_T_DAPedit",63,"DAM050_T_DAPedit",16,47,0.253968253968254
"127","DAM051_F_DAPedit",79,"DAM051_F_DAPedit",37,42,0.468354430379747
"128","DAM051_P_DAPedit",76,"DAM051_P_DAPedit",23,53,0.302631578947368
"129","DAM051_T_DAPedit",71,"DAM051_T_DAPedit",28,43,0.394366197183099
"130","DAM052_F_DAPedit",64,"DAM052_F_DAPedit",32,32,0.5
"131","DAM052_P_DAPedit",69,"DAM052_P_DAPedit",32,37,0.463768115942029
"132","DAM052_T_DAPedit",67,"DAM052_T_DAPedit",20,47,0.298507462686567
"133","DAM053_F_DAPedit",70,"DAM053_F_DAPedit",35,35,0.5
"134","DAM053_P_DAPedit",79,"DAM053_P_DAPedit",34,45,0.430379746835443
"135","DAM053_T_DAPedit",71,"DAM053_T_DAPedit",31,40,0.436619718309859
"136","DAM054_P_DAPedit",74,"DAM054_P_DAPedit",7,67,0.0945945945945946
"137","DAM054_T_DAPedit",72,"DAM054_T_DAPedit",12,60,0.166666666666667
"138","DAM055_F_DAPedit",68,"DAM055_F_DAPedit",56,12,0.823529411764706
"139","DAM055_P_DAPedit",59,"DAM055_P_DAPedit",48,11,0.813559322033898
"140","DAM055_T_DAPedit",57,"DAM055_T_DAPedit",47,10,0.824561403508772
"141","DAM056_T_DAPedit",57,"DAM056_T_DAPedit",14,43,0.245614035087719
"142","DAM057_F_DAPedit",62,"DAM057_F_DAPedit",3,59,0.0483870967741935
"143","DAM057_P_DAPedit",66,"DAM057_P_DAPedit",4,62,0.0606060606060606
"144","DAM058_F_DAPedit",62,"DAM058_F_DAPedit",22,40,0.354838709677419
"145","DAM058_P_DAPedit",75,"DAM058_P_DAPedit",32,43,0.426666666666667
"146","DAM058_T_DAPedit",72,"DAM058_T_DAPedit",24,48,0.333333333333333
"147","DAM059_P_DAPedit",49,"DAM059_P_DAPedit",3,46,0.0612244897959184
"148","DAM060_F_DAPedit",55,"DAM060_F_DAPedit",27,28,0.490909090909091
"149","DAM060_T_DAPedit",60,"DAM060_T_DAPedit",36,24,0.6
"150","DAM062_F_DAPedit",73,"DAM062_F_DAPedit",26,47,0.356164383561644
"151","DAM062_P_DAPedit",65,"DAM062_P_DAPedit",13,52,0.2
"152","DAM062_T_DAPedit",80,"DAM062_T_DAPedit",30,50,0.375
"153","DAM063_F_DAPedit",81,"DAM063_F_DAPedit",45,36,0.555555555555556
"154","DAM063_P_DAPedit",61,"DAM063_P_DAPedit",22,39,0.360655737704918
"155","DAM064_F_DAPedit",56,"DAM064_F_DAPedit",27,29,0.482142857142857
"156","DAM064_P_DAPedit",62,"DAM064_P_DAPedit",33,29,0.532258064516129
"157","DAM064_T_DAPedit",73,"DAM064_T_DAPedit",23,50,0.315068493150685
"158","DAM065_F_DAPedit",60,"DAM065_F_DAPedit",9,51,0.15
"159","DAM065_P_DAPedit",75,"DAM065_P_DAPedit",3,72,0.04
"160","DAM065_T_DAPedit",55,"DAM065_T_DAPedit",4,51,0.0727272727272727
"161","DAM066_P_DAPedit",69,"DAM066_P_DAPedit",13,56,0.188405797101449
"162","DAM068_F_DAPedit",62,"DAM068_F_DAPedit",43,19,0.693548387096774
"163","DAM068_T_DAPedit",67,"DAM068_T_DAPedit",48,19,0.716417910447761
"164","DAM070_F_DAPedit",70,"DAM070_F_DAPedit",3,67,0.0428571428571429
"165","DAM070_T_DAPedit",67,"DAM070_T_DAPedit",5,62,0.0746268656716418
"166","DAM071_F_DAPedit",65,"DAM071_F_DAPedit",3,62,0.0461538461538462
"167","DAM071_P_DAPedit",61,"DAM071_P_DAPedit",8,53,0.131147540983607
"168","DAM071_T_DAPedit",60,"DAM071_T_DAPedit",12,48,0.2
"169","DAM072_F_DAPedit",62,"DAM072_F_DAPedit",5,57,0.0806451612903226
"170","DAM072_T_DAPedit",67,"DAM072_T_DAPedit",7,60,0.104477611940299
"171","DAM073_F_DAPedit",73,"DAM073_F_DAPedit",5,68,0.0684931506849315
"172","DAM073_P_DAPedit",62,"DAM073_P_DAPedit",1,61,0.0161290322580645
"173","DAM073_T_DAPedit",63,"DAM073_T_DAPedit",7,56,0.111111111111111
"174","DAM074_F_DAPedit",50,"DAM074_F_DAPedit",2,48,0.04
"175","DAM074_P_DAPedit",72,"DAM074_P_DAPedit",10,62,0.138888888888889
"176","DAM074_T_DAPedit",63,"DAM074_T_DAPedit",7,56,0.111111111111111
"177","DAM075_F_DAPedit",75,"DAM075_F_DAPedit",14,61,0.186666666666667
"178","DAM075_P_DAPedit",77,"DAM075_P_DAPedit",13,64,0.168831168831169
"179","DAM076_F_DAPedit",67,"DAM076_F_DAPedit",36,31,0.537313432835821
"180","DAM076_P_DAPedit",75,"DAM076_P_DAPedit",42,33,0.56
"181","DAM076_T_DAPedit",67,"DAM076_T_DAPedit",33,34,0.492537313432836
"182","DAM077_F_DAPedit",65,"DAM077_F_DAPedit",41,24,0.630769230769231
"183","DAM077_P_DAPedit",66,"DAM077_P_DAPedit",36,30,0.545454545454545
"184","DAM077_T_DAPedit",74,"DAM077_T_DAPedit",58,16,0.783783783783784
"185","DAM078_F_DAPedit",71,"DAM078_F_DAPedit",50,21,0.704225352112676
"186","DAM078_P_DAPedit",84,"DAM078_P_DAPedit",65,19,0.773809523809524
"187","DAM078_T_DAPedit",50,"DAM078_T_DAPedit",39,11,0.78
"188","DAM079_F_DAPedit",68,"DAM079_F_DAPedit",16,52,0.235294117647059
"189","DAM079_P_DAPedit",60,"DAM079_P_DAPedit",8,52,0.133333333333333
"190","DAM079_T_DAPedit",68,"DAM079_T_DAPedit",28,40,0.411764705882353
"191","DAM080_F_DAPedit",70,"DAM080_F_DAPedit",17,53,0.242857142857143
"192","DAM080_P_DAPedit",72,"DAM080_P_DAPedit",10,62,0.138888888888889
"193","DAM080_T_DAPedit",55,"DAM080_T_DAPedit",16,39,0.290909090909091
"194","DAM081_F_DAPedit",58,"DAM081_F_DAPedit",27,31,0.46551724137931
"195","DAM081_P_DAPedit",70,"DAM081_P_DAPedit",34,36,0.485714285714286
"196","DAM081_T_DAPedit",70,"DAM081_T_DAPedit",22,48,0.314285714285714
"197","DAM082_F_DAPedit",70,"DAM082_F_DAPedit",4,66,0.0571428571428571
"198","DAM082_P_DAPedit",54,"DAM082_P_DAPedit",3,51,0.0555555555555556
"199","DAM083_F_DAPedit",66,"DAM083_F_DAPedit",15,51,0.227272727272727
"200","DAM083_P_DAPedit",62,"DAM083_P_DAPedit",2,60,0.032258064516129
"201","DAM083_T_DAPedit",70,"DAM083_T_DAPedit",7,63,0.1
"202","DAM084_F_DAPedit",61,"DAM084_F_DAPedit",2,59,0.0327868852459016
"203","DAM084_P_DAPedit",63,"DAM084_P_DAPedit",8,55,0.126984126984127
"204","DAM084_T_DAPedit",70,"DAM084_T_DAPedit",4,66,0.0571428571428571
"205","DAM085_F_DAPedit",74,"DAM085_F_DAPedit",26,48,0.351351351351351
"206","DAM086_P_DAPedit",72,"DAM086_P_DAPedit",22,50,0.305555555555556
"207","DAM3D002_P_DAPedit",65,"DAM3D002_P_DAPedit",55,10,0.846153846153846
"208","DAM3D003_F_DAPedit",75,"DAM3D003_F_DAPedit",23,52,0.306666666666667
"209","DAM3D005_T_DAPedit",70,"DAM3D005_T_DAPedit",60,10,0.857142857142857
"210","DAM3D006_P_DAPecit",65,"DAM3D006_P_DAPecit",40,25,0.615384615384615
"211","DAM3D007_P_DAPedit",79,"DAM3D007_P_DAPedit",64,15,0.810126582278481
"212","DAM3D008_T_DAPedit",70,"DAM3D008_T_DAPedit",49,21,0.7
"213","DAM3D009_T_DAPedit",71,"DAM3D009_T_DAPedit",46,25,0.647887323943662
"214","DAM3D011_P_DAPedit",81,"DAM3D011_P_DAPedit",55,26,0.679012345679012
"215","DAM3D012_P_DAPedit",64,"DAM3D012_P_DAPedit",59,5,0.921875
"216","DAM3D013_T_DAPedit",58,"DAM3D013_T_DAPedit",46,12,0.793103448275862
"217","DAM3D014_T_DAPedit",67,"DAM3D014_T_DAPedit",31,36,0.462686567164179
"218","DAM3D015_P_DAPedit",77,"DAM3D015_P_DAPedit",72,5,0.935064935064935
"219","DAM3D018_F_DAPedit",68,"DAM3D018_F_DAPedit",23,45,0.338235294117647
"220","DAM3D020_T_DAPedit",68,"DAM3D020_T_DAPedit",59,9,0.867647058823529
"221","DAM3D021_P_DAPedit",61,"DAM3D021_P_DAPedit",29,32,0.475409836065574
"222","DAM3D022_F_DAPedit",60,"DAM3D022_F_DAPedit",5,55,0.0833333333333333
"223","DAM3D023_F_DAPedit",72,"DAM3D023_F_DAPedit",60,12,0.833333333333333
"224","DAM3D025_T_DAPedit",80,"DAM3D025_T_DAPedit",41,39,0.5125
"225","DAM3D026_P_DAPedit",69,"DAM3D026_P_DAPedit",36,33,0.521739130434783
"226","DAM3D027_T_DAPedit",57,"DAM3D027_T_DAPedit",53,4,0.929824561403509
"227","DAM3D029_P_DAPedit",63,"DAM3D029_P_DAPedit",59,4,0.936507936507937
"228","DAM3D030_F_DAPedit",72,"DAM3D030_F_DAPedit",63,9,0.875
"229","DAM3D031_T_DAPedit",52,"DAM3D031_T_DAPedit",35,17,0.673076923076923
"230","DAM3D032_T_DAPedit",65,"DAM3D032_T_DAPedit",35,30,0.538461538461538
"231","DAM3D033_T_DAPedit",68,"DAM3D033_T_DAPedit",43,25,0.632352941176471
"232","DAM3D036_T_DAPedit",55,"DAM3D036_T_DAPedit",47,8,0.854545454545454
"233","DAM3D037_F_DAPedit",68,"DAM3D037_F_DAPedit",15,53,0.220588235294118
"234","DAM3D038_T_DAPedit",59,"DAM3D038_T_DAPedit",44,15,0.745762711864407
"235","DAM3D039_T_DAPedit",66,"DAM3D039_T_DAPedit",58,8,0.878787878787879
"236","DAM3D040_T_DAPedit",77,"DAM3D040_T_DAPedit",59,18,0.766233766233766
"237","DAM3D041_P_DAPedit",71,"DAM3D041_P_DAPedit",52,19,0.732394366197183
"238","DAM3D044_T_DAPedit",67,"DAM3D044_T_DAPedit",53,14,0.791044776119403
"239","DAM3D045_T_DAPedit",74,"DAM3D045_T_DAPedit",64,10,0.864864864864865
"240","DAM3D046_F_DAPedit",75,"DAM3D046_F_DAPedit",19,56,0.253333333333333
"241","DAM3D047_T_DAPedit",68,"DAM3D047_T_DAPedit",48,20,0.705882352941177
"242","DAM3D050_F_DAPedit",59,"DAM3D050_F_DAPedit",37,22,0.627118644067797
"243","DAM3D051_P_DAPedit",73,"DAM3D051_P_DAPedit",39,34,0.534246575342466
"244","DAM3D056_T_DAPedit",69,"DAM3D056_T_DAPedit",56,13,0.811594202898551
"245","DAM3D058_P_DAPedit",73,"DAM3D058_P_DAPedit",22,51,0.301369863013699
"246","DAM3D059_T_DAPedit",65,"DAM3D059_T_DAPedit",50,15,0.769230769230769
"247","DAM3D060_P_DAPedit",58,"DAM3D060_P_DAPedit",51,7,0.879310344827586
"248","DAM3D061_P_DAPedit",62,"DAM3D061_P_DAPedit",50,12,0.806451612903226
"249","DAM3D062_F_DAPedit",71,"DAM3D062_F_DAPedit",53,18,0.746478873239437
"250","DAM3D063_F_DAPedit",57,"DAM3D063_F_DAPedit",30,27,0.526315789473684
"251","DAM3D064_T_DAPedit",58,"DAM3D064_T_DAPedit",43,15,0.741379310344828
"252","DAM3D065_P_DAPedit",67,"DAM3D065_P_DAPedit",53,14,0.791044776119403
"253","DAM3D066_P_DAPedit",56,"DAM3D066_P_DAPedit",41,15,0.732142857142857
"254","DAM3D067_P_DAPedit",77,"DAM3D067_P_DAPedit",30,47,0.38961038961039
"255","DAM3D069_P_DAPedit",10,"DAM3D069_P_DAPedit",9,1,0.9
"256","DAM3D069_P_DAPedit",51,"DAM3D069_P_DAPedit",34,17,0.666666666666667
"257","DAMa001_F_DAPedit",57,"DAMa001_F_DAPedit",47,10,0.824561403508772
"258","DAMa001_T_DAPedit",57,"DAMa001_T_DAPedit",45,12,0.789473684210526
"259","DAMa002_F_DAPedit",63,"DAMa002_F_DAPedit",44,19,0.698412698412698
"260","DAMa002_T_DAPedit",70,"DAMa002_T_DAPedit",58,12,0.828571428571429
"261","DAMa003_F_DAPedit",55,"DAMa003_F_DAPedit",52,3,0.945454545454545
"262","DAMa003_T_DAPedit",55,"DAMa003_T_DAPedit",49,6,0.890909090909091
"263","DAMa004_F_DAPedit",81,"DAMa004_F_DAPedit",72,9,0.888888888888889
"264","DAMa004_T_DAPedit",66,"DAMa004_T_DAPedit",56,10,0.848484848484849
"265","DAMa005_F_DAPedit",65,"DAMa005_F_DAPedit",61,4,0.938461538461538
"266","DAMa005_T_DAPedit",69,"DAMa005_T_DAPedit",53,16,0.768115942028985
"267","DAMa006_F_DAPedit",70,"DAMa006_F_DAPedit",61,9,0.871428571428571
"268","DAMa006_T_DAPedit",62,"DAMa006_T_DAPedit",50,12,0.806451612903226
"269","DAMa007_F_DAPedit",67,"DAMa007_F_DAPedit",59,8,0.880597014925373
"270","DAMa007_T_DAPedit",63,"DAMa007_T_DAPedit",60,3,0.952380952380952
"271","DAMa008_F_DAPedit",72,"DAMa008_F_DAPedit",56,16,0.777777777777778
"272","DAMa008_T_DAPedit",68,"DAMa008_T_DAPedit",47,21,0.691176470588235
"273","DAMa009_F_DAPedit",70,"DAMa009_F_DAPedit",62,8,0.885714285714286
"274","DAMa009_T_DAPedit",72,"DAMa009_T_DAPedit",60,12,0.833333333333333
"275","DAMa010_F_DAPedit",70,"DAMa010_F_DAPedit",57,13,0.814285714285714
"276","DAMa010_T_DAPedit",59,"DAMa010_T_DAPedit",51,8,0.864406779661017
"277","DAMa011_F_DAPedit",64,"DAMa011_F_DAPedit",46,18,0.71875
"278","DAMa011_T_DAPedit",82,"DAMa011_T_DAPedit",67,15,0.817073170731707
"279","DAMa012_F_DAPedit",63,"DAMa012_F_DAPedit",51,12,0.80952380952381
"280","DAMa012_T_DAPedit",59,"DAMa012_T_DAPedit",50,9,0.847457627118644
"281","DAMa013_F_DAPedit",73,"DAMa013_F_DAPedit",66,7,0.904109589041096
"282","DAMa013_T_DAPedit",76,"DAMa013_T_DAPedit",67,9,0.881578947368421
"283","DAMa014_F_DAPedit",87,"DAMa014_F_DAPedit",73,14,0.839080459770115
"284","DAMa014_T_DAPedit",70,"DAMa014_T_DAPedit",61,9,0.871428571428571
"285","DAMa015_T_DAPedit",58,"DAMa015_T_DAPedit",52,6,0.896551724137931
"286","DAMa015_F_DAPedit",58,"DAMa015_F_DAPedit",51,7,0.879310344827586
"287","DAMa016_F_DAPedit",67,"DAMa016_F_DAPedit",44,23,0.656716417910448
"288","DAMa016_T_DAPedit",72,"DAMa016_T_DAPedit",51,21,0.708333333333333
"289","DAMa017_F_DAPedit",64,"DAMa017_F_DAPedit",60,4,0.9375
"290","DAMa017_T_DAPedit",75,"DAMa017_T_DAPedit",66,9,0.88
"291","DAMa018_F_DAPedit",52,"DAMa018_F_DAPedit",42,10,0.807692307692308
"292","DAMa018_T_DAPedit",79,"DAMa018_T_DAPedit",66,13,0.835443037974684
"293","DAMa019_F_DAPedit",67,"DAMa019_F_DAPedit",53,14,0.791044776119403
"294","DAMa019_T_DAPedit",60,"DAMa019_T_DAPedit",55,5,0.916666666666667
"295","DAMa020_F_DAPedit",66,"DAMa020_F_DAPedit",45,21,0.681818181818182
"296","DAMa020_T_DAPedit",67,"DAMa020_T_DAPedit",48,19,0.716417910447761
"297","DAMa021_F_DAPedit",69,"DAMa021_F_DAPedit",60,9,0.869565217391304
"298","DAMa021_T_DAPedit",62,"DAMa021_T_DAPedit",53,9,0.854838709677419
"299","DAMa022_F_DAPedit",65,"DAMa022_F_DAPedit",60,5,0.923076923076923
"300","DAMa022_T_DAPedit",83,"DAMa022_T_DAPedit",78,5,0.939759036144578
"301","DAMa023_F_DAPedit",68,"DAMa023_F_DAPedit",57,11,0.838235294117647
"302","DAMa023_T_DAPedit",72,"DAMa023_T_DAPedit",62,10,0.861111111111111
"303","DAMa024_F_DAPedit",58,"DAMa024_F_DAPedit",53,5,0.913793103448276
"304","DAMa024_T_DAPedit",52,"DAMa024_T_DAPedit",49,3,0.942307692307692
"305","DAMa025_F_DAPedit",61,"DAMa025_F_DAPedit",58,3,0.950819672131147
"306","DAMa025_T_DAPedit",76,"DAMa025_T_DAPedit",70,6,0.921052631578947
